,Date,TSLA,WL-MART,AMZN,MSFOT,VISA,AAPL,GOOGL,NTFLX,JP-MORGN,NVDA
45,10-10-2017,69.360001,82.68,49.8335,76.33000200000001,107.58000200000001,39.014998999999996,49.0,197.850006,96.459999,47.857498
46,11-10-2017,70.778,84.58000200000001,49.563499,76.360001,107.699997,38.9925,48.686001,195.570007,96.83000200000001,47.400002
47,12-10-2017,70.589996,85.699997,49.8405,76.489998,108.5,39.087502,49.372501,196.75,97.300003,47.77
48,13-10-2017,71.396004,86.239998,50.349998,77.589996,108.5,39.182499,49.599998,199.699997,95.480003,48.387501
49,16-10-2017,70.751999,86.58000200000001,50.422001,77.41999799999999,108.790001,39.474998,49.605,201.949997,96.339996,48.950001
50,17-10-2017,70.181999,85.5,50.279499,77.470001,108.25,39.945,49.5145,200.110001,98.07,49.272498999999996
51,18-10-2017,71.194,86.150002,50.463501,77.66999799999999,107.620003,40.105,49.588501,199.990005,98.150002,49.5275
52,19-10-2017,71.112,86.150002,49.5,77.57,107.269997,39.1875,49.299999,193.009995,97.190002,48.610001000000004
53,20-10-2017,70.538002,86.599998,49.676497999999995,78.32,107.699997,39.1525,49.472,195.899994,99.279999,49.622501
54,23-10-2017,69.975998,87.339996,49.336498,78.989998,108.050003,39.2225,49.476002,194.169998,99.510002,49.445
55,24-10-2017,67.760002,88.690002,48.450001,78.900002,107.559998,39.072497999999996,48.5,192.75,99.879997,49.247501
56,25-10-2017,67.339996,87.849998,48.900002,78.58000200000001,109.410004,39.227501000000004,48.418499,195.380005,101.25,49.27
57,26-10-2017,65.556,88.660004,49.016498999999996,79.199997,110.379997,39.307499,49.0,194.66000400000001,101.349998,48.695
58,27-10-2017,63.950001,88.139999,52.907001,84.370003,110.07,39.822497999999996,50.459499,197.199997,101.43,49.450001
59,30-10-2017,63.835999,87.940002,54.7505,83.699997,109.66999799999999,40.9725,50.700001,199.619995,101.129997,50.465
60,31-10-2017,64.045998,86.860001,55.450001,84.360001,110.58000200000001,41.974998,50.761002000000005,198.21000700000002,101.370003,51.282501
61,01-11-2017,66.449997,87.07,55.27,83.68,110.5,42.467499,50.8605,197.240005,101.099998,52.337502
62,02-11-2017,60.026001,88.279999,54.890499,83.349998,111.019997,41.650002,51.088001,197.449997,100.870003,51.5
63,03-11-2017,59.900002,89.019997,54.557499,84.08000200000001,110.940002,43.5,51.105499,199.800003,101.099998,51.799999
64,06-11-2017,61.400002,89.41999799999999,55.4575,84.199997,111.360001,43.092499,51.449501,200.0,101.339996,51.799999
65,07-11-2017,60.203998999999996,88.870003,56.236999999999995,84.769997,112.25,43.477501000000004,51.363499,200.0,100.559998,52.637501
66,08-11-2017,61.099998,89.110001,56.140999,84.139999,112.010002,43.665001000000004,51.526001,196.0,98.269997,52.962502
67,09-11-2017,60.5,89.940002,56.298,84.110001,111.800003,43.7775,51.699501,194.46000700000002,97.120003,51.317501
68,10-11-2017,60.5,90.239998,56.305,83.790001,111.709999,43.7775,51.323002,191.610001,97.809998,53.27
69,13-11-2017,60.026001,91.040001,56.150002,83.660004,111.550003,43.375,51.171001000000004,191.119995,96.690002,54.035
70,14-11-2017,63.0,90.699997,56.505501,83.5,111.08000200000001,43.259997999999996,51.129501,193.639999,97.339996,53.25
71,15-11-2017,61.202,90.339996,56.350497999999995,83.470001,111.339996,42.4925,50.960499,194.53999299999998,96.389999,52.987499
72,16-11-2017,62.798,95.120003,56.507999,83.099998,110.75,42.794998,51.125999,194.330002,98.529999,53.244999
73,17-11-2017,65.134003,99.239998,56.914001,83.120003,110.690002,42.759997999999996,51.7005,195.740005,97.82,53.48
74,20-11-2017,62.757999,96.440002,56.488499,82.400002,109.949997,42.572497999999996,51.013000000000005,193.300003,98.449997,52.997501
75,21-11-2017,62.172001,97.739998,56.643002,82.739998,110.449997,42.695,51.165501,195.03999299999998,99.5,53.922501000000004
76,22-11-2017,63.354,96.650002,57.049999,83.83000200000001,111.5,43.34,51.75,196.580002,99.029999,54.25
77,24-11-2017,62.757999,96.870003,58.035,83.010002,111.309998,43.775002,51.793499,196.649994,98.83000200000001,53.897498999999996
78,27-11-2017,62.650002,96.849998,60.132999,83.309998,112.0,43.762501,52.0,195.559998,98.309998,54.327498999999996
79,28-11-2017,63.271999,96.589996,60.243999,84.07,112.599998,43.575001,52.754501,195.33999599999999,98.209999,53.587502
80,29-11-2017,63.459998999999996,97.220001,59.740002000000004,84.709999,113.620003,43.157501,52.133998999999996,198.91000400000001,102.410004,52.502499
81,30-11-2017,61.712002000000005,98.089996,58.355,83.510002,110.5,42.607498,51.1185,190.309998,104.739998,49.799999
82,01-12-2017,61.088001,97.610001,58.602501000000004,83.599998,112.379997,42.487499,50.790001000000004,186.990005,104.900002,49.827498999999996
83,04-12-2017,61.299999,97.730003,58.692501,84.41999799999999,111.33000200000001,43.119999,50.632999,189.360001,107.730003,50.012501
84,05-12-2017,60.400002,97.0,56.412997999999995,81.339996,108.889999,42.264998999999996,49.797001,183.5,105.58000200000001,45.599998
85,06-12-2017,60.02,97.989998,56.899502000000005,81.550003,108.489998,41.875,50.075001,183.380005,105.550003,46.424999
86,07-12-2017,62.400002,97.059998,57.829498,82.540001,109.769997,42.2575,51.0215,185.71000700000002,103.949997,47.990002000000004
87,08-12-2017,62.919998,96.300003,58.52,83.629997,112.129997,42.622501,51.8745,186.5,104.75,48.502499
88,11-12-2017,62.925999,96.959999,58.23,84.290001,112.5,42.299999,51.775002,187.850006,105.720001,48.014998999999996
89,12-12-2017,66.089996,96.849998,58.3255,85.309998,112.370003,43.037498,51.981499,186.009995,106.910004,48.224998
90,13-12-2017,68.185997,96.660004,58.5,85.739998,113.75,43.125,52.306000000000004,186.100006,106.699997,48.125
91,14-12-2017,68.202003,98.0,58.185501,85.43,113.550003,43.099998,52.25,187.979996,106.120003,46.48
92,15-12-2017,68.407997,97.709999,58.9515,85.260002,113.970001,43.407501,52.730499,189.610001,105.790001,47.0625
93,18-12-2017,68.980003,97.379997,59.3685,87.120003,114.690002,43.720001,53.304001,191.199997,107.190002,48.299999
94,19-12-2017,68.052002,99.910004,59.4575,86.349998,113.279999,43.7575,53.759997999999996,190.179993,107.349998,49.380001
95,20-12-2017,66.538002,99.449997,59.525002,86.199997,112.720001,43.717499,53.589001,187.940002,107.599998,49.424999
96,21-12-2017,65.917999,99.0,58.794998,86.050003,112.599998,43.5425,53.247501,189.440002,106.589996,49.235001000000004
97,22-12-2017,65.902,98.290001,58.604,85.400002,112.389999,43.669998,53.0555,188.330002,108.199997,48.599998
98,26-12-2017,64.765999,98.349998,58.417999,85.309998,112.07,42.700001,52.9035,189.779999,107.199997,48.2575
99,27-12-2017,63.200001,99.559998,58.995499,85.650002,112.690002,42.525002,52.869499,187.800003,106.66999799999999,49.224998
100,28-12-2017,62.349998,99.519997,59.450001,85.900002,114.300003,42.75,52.580002,187.179993,107.400002,49.532501
101,29-12-2017,63.236000000000004,99.400002,59.1175,85.629997,114.75,42.630001,52.335999,192.509995,108.089996,49.615002000000004
102,02-01-2018,62.400002,99.300003,58.599998,86.129997,114.57,42.540001000000004,52.417,196.100006,107.629997,48.945
103,03-01-2018,64.199997,98.849998,59.415001000000004,86.059998,114.949997,43.1325,53.2155,202.050003,107.860001,51.025002
104,04-01-2018,62.574001,99.540001,60.25,86.589996,116.25,43.134997999999996,54.400002,206.199997,108.360001,53.939999
105,05-01-2018,63.324001,99.639999,60.8755,87.660004,116.989998,43.360001000000004,54.700001,207.25,109.260002,53.547501000000004
106,08-01-2018,63.200001,100.25,61.799999,88.199997,118.610001,43.587502,55.1115,210.020004,108.150002,55.099998
107,09-01-2018,67.031998,102.029999,62.845001,88.650002,119.970001,43.637501,55.470001,212.11000099999998,108.720001,55.555
108,10-01-2018,66.440002,99.75,62.2575,87.860001,118.690002,43.290001000000004,54.855,207.570007,109.470001,54.549999
109,11-01-2018,67.047997,99.699997,62.986999999999995,88.129997,118.800003,43.647498999999996,55.314999,214.289993,110.66999799999999,56.25
110,12-01-2018,67.725998,100.389999,63.669498,88.66999799999999,120.120003,44.044998,55.120499,217.17999300000002,111.650002,55.900002
111,16-01-2018,67.508003,101.339996,66.150002,90.099998,121.18,44.474998,56.6255,224.24000499999997,111.510002,56.012501
112,17-01-2018,68.094002,101.150002,65.612,89.08000200000001,121.199997,44.037498,56.311001,221.0,111.889999,55.174999
113,18-01-2018,69.134003,104.739998,64.697502,89.800003,122.519997,44.842499,56.570499,220.33999599999999,112.760002,55.985001000000004
